date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-10-28,2922.58,2948.49,2895.27,2945.98,1620903,2922.58,2948.49,2895.27,2945.98,1620903,0.0,1.0
2021-10-29,2965.41,2972.26,2903.33,2910.4,1447725,2965.41,2972.26,2903.33,2910.4,1447725,0.0,1.0
2021-11-01,2875.48,2967.99,2871.59,2963.3,1578447,2875.48,2967.99,2871.59,2963.3,1578447,0.0,1.0
2021-11-02,2917.26,2938.41,2892.82,2896.1877,1054648,2917.26,2938.41,2892.82,2896.1877,1054648,0.0,1.0
2021-11-03,2935.8,2938.21,2901.07,2925.5,894330,2935.8,2938.21,2901.07,2925.5,894330,0.0,1.0
2021-11-04,2973.66,2999.0,2932.7,2944.0,1235040,2973.66,2999.0,2932.7,2944.0,1235040,0.0,1.0
2021-11-05,2984.82,3011.4145,2973.04,2987.07,1020407,2984.82,3011.4145,2973.04,2987.07,1020407,0.0,1.0
2021-11-08,2987.03,3020.6899,2982.4,3000.0,919407,2987.03,3020.6899,2982.4,3000.0,919407,0.0,1.0
2021-11-09,2984.97,3007.57,2950.14,2994.92,842214,2984.97,3007.57,2950.14,2994.92,842214,0.0,1.0
2021-11-10,2932.52,2973.9999,2906.5,2960.195,1135416,2932.52,2973.9999,2906.5,2960.195,1135416,0.0,1.0
2021-11-11,2934.96,2970.045,2933.89,2942.14,623155,2934.96,2970.045,2933.89,2942.14,623155,0.0,1.0
2021-11-12,2992.91,2997.19,2929.08,2956.63,849970,2992.91,2997.19,2929.08,2956.63,849970,0.0,1.0
2021-11-15,2987.76,3009.54,2973.05,3000.0,812367,2987.76,3009.54,2973.05,3000.0,812367,0.0,1.0
2021-11-16,2981.52,2996.65,2967.0,2983.41,862743,2981.52,2996.65,2967.0,2983.41,862743,0.0,1.0
2021-11-17,2981.24,2992.52,2971.26,2984.58,764541,2981.24,2992.52,2971.26,2984.58,764541,0.0,1.0
2021-11-18,3014.18,3032.2,2979.97,2982.92,1334120,3014.18,3032.2,2979.97,2982.92,1334120,0.0,1.0
2021-11-19,2999.05,3037.0,2997.75,3020.0,989148,2999.05,3037.0,2997.75,3020.0,989148,0.0,1.0
2021-11-22,2941.57,3014.89,2940.11,3002.8352,1231385,2941.57,3014.89,2940.11,3002.8352,1231385,0.0,1.0
2021-11-23,2935.14,2953.88,2897.79,2942.26,906657,2935.14,2953.88,2897.79,2942.26,906657,0.0,1.0
2021-11-24,2934.35,2940.0,2903.98,2927.0,823203,2934.35,2940.0,2903.98,2927.0,823203,0.0,1.0
2021-11-26,2856.12,2905.9404,2849.71,2900.31,849606,2856.12,2905.9404,2849.71,2900.31,849606,0.0,1.0
2021-11-29,2922.28,2937.24,2885.97,2885.97,1313806,2922.28,2937.24,2885.97,2885.97,1313806,0.0,1.0
